1646054681121	9.13
1646054681621	9.13
1646054682121	9.13
1646054682621	9.13
1646054683122	9.13
1646054683350	-9.13
1646054683622	9.13
1646054684122	11.63
1646054684622	14.13
1646054685123	16.63
1646054685623	19.13
1646054686123	21.13
1646054686624	21.13
1646054687124	21.13
1646054687624	21.13
1646054688124	21.13
1646054688625	21.13
1646054689125	21.13
1646054689625	21.13
1646054690125	21.13
1646054690626	21.13
1646054691126	21.13
1646054691626	21.13
1646054692126	21.13
1646054692627	21.13
1646054693127	21.13
1646054693627	21.13
1646054694128	21.13
1646054694628	21.13
1646054695128	21.13
1646054695629	21.13
1646054696129	21.13
1646054696629	21.13
1646054697129	21.13
1646054697629	21.13
1646054698130	21.13
1646054698630	21.13
1646054699131	21.13
1646054699631	21.13
1646054700131	21.13
1646054700631	21.13
1646054701132	21.13
1646054701632	21.13
1646054702133	21.13
1646054702633	21.13
1646054703133	21.13
1646054703634	21.13
1646054704134	21.13
1646054704634	11.63
1646054704658	-9.13
